symbol	ID	name	location	list	UNCcoxP	UNCcoxB	ICGCcoxP	ICGCcoxB
C5orf32	84418	A_23_P259506	chr5:139603310-139603369	classical	0.558	-0.067	0.010	-0.438
CA13	377677	A_23_P381714	chr8:86383217-86383276	classical	0.161	0.312	0.067	-0.290
CA2	760	A_23_P8913	chr8:86580462-86580521	classical	0.322	-0.086	0.321	-0.088
CA9	768	A_23_P157793	chr9:35667817-35669204	classical	0.876	-0.014	0.755	-0.021
CALML4	91860	A_23_P129188	chr15:66273473-66273414	classical	0.645	-0.046	0.091	-0.404
CAPN8	388743	A_23_P94782	chr1:221789353-221785275	classical	0.279	0.090	0.006	-0.407
CAPN9	10753	A_23_P149427	chr1:228994858-228995272	classical	0.109	-0.154	0.016	-0.185
CBLC	23624	A_23_P397910	chr19:49987504-49987563	classical	0.381	0.092	0.189	-0.145
CCK	885	A_23_P425681	chr3:42274380-42274322	classical	0.175	-0.101	0.922	0.008
CCRL1	51554	A_23_P6909	chr3:133802915-133802974	classical	0.979	0.004	0.986	-0.011
CDH17	1015	A_23_P111947	chr8:95209693-95209634	classical	0.658	0.039	0.970	-0.002
CEACAM1	634	A_24_P382319	chr19:47703403-47703344	classical	0.447	0.086	0.231	-0.153
CEACAM3	1084	A_23_P130515	chr19:46993671-47004700	classical	0.495	-0.066	0.138	-1.252
CEACAM5	1048	A_23_P153301	chr19:46916824-46916883	classical	0.868	0.008	0.117	-0.086
CEACAM6	4680	A_23_P218442	chr19:46967274-46967333	classical	0.877	0.008	0.385	-0.059
CGN	57530	A_24_P45728	chr1:149776347-149776406	classical	0.149	0.204	0.247	-0.125
CHP2	63928	A_23_P349463	chr16:23677645-23677704	classical	0.519	0.045	0.779	0.033
CKMT1A	548596	A_23_P163227	chr15:41778574-41778633	classical	0.590	0.053	0.489	-0.072
CLCA1	1179	A_23_P51217	chr1:86738403-86738462	classical	0.744	-0.025	0.881	-0.009
CLDN18	51208	A_23_P336693	chr3:139226224-139231355	classical	0.698	0.028	0.018	-0.189
CLDN23	137075	A_23_P134854	chr8:8598823-8598882	classical	0.588	-0.048	0.087	-0.237
CLRN3	119467	A_23_P127107	chr10:129566357-129566298	classical	0.559	0.036	0.062	-0.140
CMBL	134147	A_23_P144668	chr5:10333648-10333589	classical	0.223	-0.183	0.188	-0.236
CNNM4	26504	A_23_P119923	chr2:96841208-96841267	classical	0.515	0.086	0.210	-0.195
CTAGE4	100128553	A_32_P167856	chr7:143513910-143513969	classical	0.385	0.131	0.077	-2.093
CTSE	1510	A_23_P170301	chr1:204495470-204495630	classical	0.860	-0.009	0.001	-0.228
CYP2C18	1562	A_23_P52480	chr10:96485387-96485446	classical	0.514	0.055	0.021	-0.192
CYP2S1	29785	A_23_P101374	chr19:46404922-46404981	classical	0.427	-0.094	0.027	-0.209
CYP3A4	1576	A_24_P389251	chr7:99193782-99193723	classical	0.747	0.028	0.293	-0.169
CYP3A5	1577	A_23_P8801	chr7:099107389-099107330	classical	0.692	-0.060	0.005	-0.260
CYP3A7	1551	A_23_P358917	chr7:99141032-99140973	classical	0.911	0.009	0.219	-0.415
DDC	1644	A_23_P145644	chr7:50493723-50493664	classical	0.104	-0.110	0.847	-0.014
DMBT1	1755	A_23_P86599	chr10:124393142-124393201	classical	0.379	0.035	0.165	-0.123
DNAJC15	29103	A_23_P117190	chr13:42550818-42557956	classical	0.030	0.379	0.999	-0.000
DOK4	55715	A_24_P48069	chr16:56063694-56063635	classical	0.571	0.101	0.243	-0.212
DPCR1	135656	A_24_P269184	chr6:31028068-31028127	classical	0.611	0.028	0.359	-0.064
DQX1	165545	A_23_P56659	chr2:74598918-74598859	classical	0.446	0.095	0.644	-0.099
ELF3	1999	A_23_P104188	chr1:200251052-200251111	classical	0.409	0.078	0.086	-0.185
EPCAM	4072	A_23_P91081	chr2:47467398-47467457	classical	0.989	0.001	0.249	-0.131
EPPK1	83481	A_23_P83388	chr8:145011953-145011894	classical	0.301	-0.103	0.731	-0.151
FA2H	79152	A_23_P49448	chr16:73304524-73304465	classical	0.488	0.052	0.243	-0.109
FAM101A	144347	A_24_P288890	chr12:123365510-123365569	classical	0.247	0.106	0.882	0.017
FAM132A	388581	A_32_P75792	chr1:1168085-1167838	classical	0.017	0.277	0.049	-0.517
FAM3D	131177	A_23_P41145	chr3:58594859-58594800	classical	0.716	0.020	0.011	-0.161
FAM83E	54854	A_23_P153540	chr19:53804993-53798970	classical	0.819	-0.039	0.014	-0.245
FCGBP	8857	A_23_P21495	chr19:45045966-45045908	classical	0.205	-0.082	0.784	-0.027
FLJ20674	54621	A_24_P914000	chr12:117023917-117023858	classical	0.841	0.037	0.521	0.220
FOXA3	3171	A_23_P208737	chr19:51068670-51068729	classical	0.566	-0.071	0.048	-0.173
FUT2	2524	A_23_P107974	chr19:53898800-53898859	classical	0.573	0.068	0.021	-0.216
FUT3	2525	A_23_P360316	chr19:5794151-5794092	classical	0.090	0.164	0.154	-0.109
FUT5	2527	A_23_P101759	chr19:5817319-5817260	classical	0.169	0.163	0.832	0.191
FZD5	7855	A_24_P148503	chr2:208337077-208337018	classical	0.072	-0.291	0.784	-0.046
GABRP	2568	A_23_P328545	chr5:170173031-170173090	classical	0.386	-0.049	0.092	-0.095
GAL3ST1	9514	A_23_P120863	chr22:29280697-29280638	classical	0.175	0.146	0.124	-0.183
GALNT12	79695	A_23_P415652	chr9:100648200-100651087	classical	0.535	-0.089	0.424	-0.113
GALNT4	8693	A_23_P413576	chr12:88441181-88441122	classical	1.000	-0.000	0.019	-0.283
GALNT6	11226	A_23_P204133	chr12:50034232-50034173	classical	0.615	0.075	0.553	-0.066
GATA6	2627	A_23_P304450	chr18:18035791-18035850	classical	0.084	-0.173	0.023	-0.455
GBP3	2635	A_23_P51487	chr1:89245196-89245137	classical	0.043	0.277	0.105	-0.133
GCNT3	9245	A_23_P420209	chr15:57698656-57698715	classical	0.821	0.015	0.154	-0.117
GKN1	56287	A_23_P44436	chr2:69061485-69061544	classical	0.338	0.077	0.191	-0.161
GMDS	2762	A_23_P72068	chr6:1905185-1905126	classical	0.641	-0.062	0.066	-0.287
GOLM1	51280	A_24_P927500	chr9:87839429-87839370	classical	0.926	-0.015	0.309	-0.188
GPA33	10223	A_24_P319374	chr1:165288876-165288817	classical	0.953	-0.011	0.142	-0.189
GPR128	84873	A_23_P40919	chr3:101870593-101896290	classical	0.880	-0.018	0.180	-0.117
GPR160	26996	A_23_P167005	chr3:171284948-171285007	classical	0.228	-0.145	0.040	-0.217
GPR35	2859	A_23_P154245	chr2:241218853-241218912	classical	0.228	0.152	0.081	-0.254
GPX2	2877	A_23_P3038	chr14:64476208-64476149	classical	0.916	0.007	0.003	-0.194
GRTP1	79774	A_24_P135748	chr13:113047218-113028388	classical	0.413	-0.151	0.129	-0.334
GSDMB	55876	A_23_P66454	chr17:35315681-35315272	classical	0.204	0.132	0.606	-0.089
GUCY2C	2984	A_23_P76312	chr12:14657356-14657297	classical	0.239	0.114	0.777	-0.026
HEPH	9843	A_24_P399980	chrX:65403053-65403112	classical	0.703	-0.048	0.049	-0.426
HHLA2	11148	A_23_P368805	chr3:109579268-109579327	classical	0.366	0.154	0.742	-0.040
HKDC1	80201	A_23_P52451	chr10:70688671-70690909	classical	0.059	0.217	0.206	-0.144
HPGD	3248	A_24_P71904	chr4:175648320-175648261	classical	0.829	-0.022	0.089	-0.165
HSD11B2	3291	A_23_P14986	chr16:66028725-66028784	classical	0.781	0.028	0.066	-0.175
HSD17B2	3294	A_23_P118065	chr16:80689398-80689457	classical	0.476	-0.052	0.080	-0.135
IFT172	26160	A_23_P406135	chr2:27520820-27520761	classical	0.206	0.183	0.002	-0.381
IGSF9	57549	A_23_P85441	chr1:158163619-158163560	classical	0.173	0.158	0.592	-0.070
ITLN1	55600	A_23_P95790	chr1:159113049-159112990	classical	0.924	-0.005	0.305	-0.068
ITPKA	3706	A_23_P65918	chr15:39582932-39582991	classical	0.981	0.002	0.963	0.005
IYD	389434	A_32_P110472	chr6:150766997-150767056	classical	0.699	-0.039	0.136	-0.131
KCNE3	10008	A_23_P24948	chr11:73844193-73844134	classical	0.205	-0.096	0.006	-0.994
KCNH8	131096	A_23_P170636	chr3:19552024-19552083	classical	0.489	0.086	0.257	-0.300
KIAA1211	57482	A_24_P331882	chr4:56890256-56890315	classical	0.767	-0.047	0.017	-1.061
KLF5	688	A_24_P210406	chr13:72534862-72536010	classical	0.310	0.102	0.339	-0.103
KLK11	11012	A_23_P101505	chr19:56217497-56217438	classical	0.984	-0.001	0.535	-0.095
KRT12	3859	A_23_P55448	chr17:36270986-36270956	classical	0.570	0.190	0.937	-0.042
KRT20	54474	A_23_P66854	chr17:36286117-36286058	classical	0.031	0.151	0.685	-0.034
LGALS4	3960	A_23_P254917	chr19:43984823-43984606	classical	0.840	-0.012	0.001	-0.211
LIPH	200879	A_23_P84219	chr3:186708454-186708395	classical	0.088	0.153	0.516	-0.077
LMO4	8543	A_23_P380181	chr1:87583092-87583151	classical	0.471	0.119	0.000	-0.849
LOC100133019	100133019	A_24_P901986	chr16:29736944-29736885	classical	0.015	0.291	0.472	-0.088
LOC124220	124220	A_23_P118203	chr16:2822114-2822173	classical	0.646	0.030	0.008	-0.214
LOC149501	149501	A_32_P112546	chr1:155311175-155311233	classical	0.066	0.208	0.638	-0.120
LOC284422	284422	A_23_P397120	chr19:3425882-3425823	classical	0.749	0.026	0.216	-0.098
LOC340888	340888	A_24_P152845	chr10:69180870-69180929	classical	0.712	-0.025	0.708	-0.224
LOC388564	388564	A_32_P92171	chr19:60586905-60582492	classical	0.346	0.126	0.009	-0.416
LOC400573	400573	A_32_P515920	chr17:10639058-10638999	classical	0.762	-0.023	1.000	0.000
LOC440335	440335	A_24_P229884	chr16:4785789-4785848	classical	0.219	0.121	0.061	-0.234
LOC643100	643100	A_32_P218025	chr4:76323017-76322958	classical	0.574	0.065	0.067	-0.315
LOC728199	728199	A_32_P141488	chr11:3407086-3407027	classical	0.393	0.107	0.211	0.955
LOC730102	730102	A_23_P46447	chr1:176242110-176242051	classical	0.262	0.199	0.845	0.034
LRRC31	79782	A_24_P281036	chr3:171055440-171055381	classical	0.698	-0.074	0.092	-0.141
LSR	51599	A_23_P142389	chr19:40450274-40450333	classical	0.119	0.162	0.056	-0.372
LYZ	4069	A_24_P42264	chr12:68030229-68030288	classical	0.007	-0.168	0.002	-0.275
MEP1A	4224	A_24_P154868	chr6:46911141-46911200	classical	0.950	-0.008	0.363	-0.075
MGLL	11343	A_24_P226008	chr3:128896522-128893812	classical	0.654	0.049	0.424	-0.147
MGST2	4258	A_23_P110167	chr4:140844706-140844765	classical	0.496	-0.130	0.018	-0.689
MS4A8B	83661	A_23_P139146	chr11:60239611-60239670	classical	0.741	-0.030	0.040	-0.159
MSLN	10232	A_23_P77529	chr16:756419-756478	classical	0.870	0.014	0.050	-0.125
MSMB	4477	A_23_P75024	chr10:51226847-51232320	classical	0.378	0.055	0.538	-0.037
MST1R	4486	A_23_P256312	chr3:49899756-49899697	classical	0.076	0.185	0.220	-0.150
MUC1	4582	A_23_P137856	chr1:153426350-153425276	classical	0.484	0.053	0.011	-0.230
MUC13	56667	A_23_P155236	chr3:126108005-126107946	classical	0.550	-0.053	0.030	-0.166
MUC17	140453	A_24_P247643	chr7:100465768-100465827	classical	0.999	0.000	0.676	-0.022
MUPCDH	53841	A_24_P352388	chr11:609570-609511	classical	0.032	0.299	0.326	-0.167
MYO1A	4640	A_23_P162288	chr12:55708741-55708682	classical	0.501	0.048	0.031	-0.186
MYO5B	4645	A_23_P101193	chr18:45606882-45606823	classical	0.754	0.033	0.486	-0.191
MYO7B	4648	A_23_P209799	chr2:128110957-128111418	classical	0.882	0.027	0.548	-0.174
NOXO1	124056	A_23_P413051	chr16:1968980-1968921	classical	0.023	0.161	0.060	-0.266
NQO1	1728	A_23_P206661	chr16:68301834-68301775	classical	0.815	-0.026	0.002	-0.500
NR1I2	8856	A_23_P109785	chr3:121019802-121019861	classical	0.692	-0.034	0.805	-0.062
OVOL2	58495	A_23_P143348	chr20:17953078-17953019	classical	0.486	-0.083	0.172	-0.170
PAQR8	85315	A_23_P214281	chr6:52378803-52378862	classical	0.080	-0.265	0.004	-0.459
PCDH24	54825	A_23_P133338	chr5:175950227-175950286	classical	0.990	0.001	0.419	-0.083
PDZD3	79849	A_23_P24577	chr11:118564218-118564277	classical	0.162	0.254	0.563	0.079
PDZK1IP1	10158	A_23_P394304	chr1:47422298-47422239	classical	0.905	-0.010	0.011	-0.216
PIK3C2B	5287	A_23_P200710	chr1:202658573-202658514	classical	0.417	-0.129	0.009	-0.553
PIP5K1B	8395	A_32_P465742	chr9:70813490-70813549	classical	0.040	-0.237	0.211	-0.365
PLA2G10	8399	A_23_P88767	chr16:14674062-14674003	classical	0.727	0.024	0.002	-0.219
PLAC8	51316	A_23_P81219	chr4:84231012-84230953	classical	0.430	0.051	0.377	-0.073
PLEKHA6	22874	A_23_P431268	chr1:202454692-202454633	classical	0.188	0.216	0.003	-0.344
PLS1	5357	A_23_P211909	chr3:143914810-143914869	classical	0.263	-0.105	0.013	-0.260
POF1B	79983	A_23_P159764	chrX:84419446-84419387	classical	0.651	-0.059	0.003	-0.325
PPP1R14D	54866	A_23_P129312	chr15:38908091-38908032	classical	0.945	0.012	0.701	-0.043
PPP1R1B	84152	A_23_P129835	chr17:35046134-35046193	classical	0.834	-0.020	0.057	-0.306
PROM1	8842	A_23_P258463	chr4:15579814-15579755	classical	0.459	-0.066	0.000	-0.244
PRR15	222171	A_32_P154911	chr7:29573373-29573432	classical	0.211	0.171	0.104	-0.306
PTPRH	5794	A_23_P101642	chr19:60384639-60384580	classical	0.500	0.066	0.210	-0.156
RAPGEFL1	51195	A_23_P152970	chr17:35604950-35605009	classical	0.547	-0.077	0.280	-0.105
RASAL1	8437	A_23_P139600	chr12:112022018-112021959	classical	0.710	0.052	0.023	-0.319
RASEF	158158	A_24_P183994	chr9:84860384-84860325	classical	0.073	0.304	0.184	-0.093
RBM35B	80004	A_23_P100220	chr16:66820614-66820555	classical	0.369	0.130	1.000	0.000
REG4	83998	A_23_P400310	chr1:120138722-120138663	classical	0.728	-0.016	0.362	-0.039
RIPK3	11035	A_23_P14559	chr14:23876423-23876364	classical	0.616	-0.088	0.088	-0.269
RNF125	54941	A_24_P472055	chr6:042202255-042202196	classical	0.886	0.028	0.033	-0.693
RNF128	79589	A_23_P148345	chrX:105926766-105926825	classical	0.789	-0.025	0.052	-0.571
RNF183	138065	A_23_P83339	chr9:115099272-115099213	classical	0.541	0.079	0.023	-0.428
RNF43	54894	A_23_P3934	chr17:53786511-53786452	classical	0.140	0.201	0.491	-0.118
RTP4	64108	A_23_P166797	chr3:188571949-188572008	classical	0.494	0.090	0.498	-0.113
S100A14	57402	A_23_P124619	chr1:151853689-151853630	classical	0.104	0.116	0.380	-0.091
SCIN	85477	A_23_P157136	chr7:12658868-12658927	classical	0.885	-0.018	0.217	-0.148
SDCBP2	27111	A_23_P131899	chr20:1241097-1241038	classical	0.118	0.159	0.287	-0.163
SEMA4G	57715	A_23_P127068	chr10:102735214-102735273	classical	0.631	0.072	0.174	-0.333
SEMG1	6406	A_23_P165968	chr20:43270744-43271673	classical	0.085	0.155	0.293	-0.185
SGK493	91461	A_32_P112493	chr2:42138510-42138569	classical	0.390	-0.116	1.000	0.000
SGPP2	130367	A_23_P153971	chr2:223131685-223131744	classical	0.560	0.084	0.001	-0.601
SH3BGRL2	83699	A_24_P209171	chr6:80469527-80469586	classical	0.062	-0.302	0.001	-0.582
SHROOM3	57619	A_23_P58117	chr4:77919843-77919902	classical	0.450	-0.082	0.005	-0.297
SI	6476	A_32_P302205	chr3:166182790-166182731	classical	0.786	0.024	0.463	-0.065
SLC12A2	6558	A_32_P25437	chr5:127552627-127552686	classical	0.005	-0.356	0.001	-0.502
SLC26A9	115019	A_23_P201248	chr1:204149047-204148988	classical	0.467	0.048	0.010	-0.442
SLC37A1	54020	A_23_P17695	chr21:42874134-42874192	classical	0.250	0.194	0.627	-0.070
SLC40A1	30061	A_23_P102391	chr2:190134054-190133995	classical	0.269	-0.125	0.000	-0.614
SLC41A2	84102	A_23_P204801	chr12:103723040-103722981	classical	0.834	-0.037	0.391	-0.153
SLC44A4	80736	A_23_P93349	chr6:31941125-31940832	classical	0.473	-0.059	0.000	-0.458
SLC45A3	85414	A_24_P208345	chr1:203893719-203893660	classical	0.124	0.134	0.027	-0.210
SLC5A1	6523	A_23_P17826	chr22:30836237-30836296	classical	0.922	-0.009	0.022	-0.206
SLC6A20	54716	A_24_P371331	chr3:45786768-45786709	classical	0.587	-0.087	0.147	-0.328
SLC7A4	6545	A_23_P120794	chr22:19713143-19713084	classical	0.774	-0.032	0.097	-0.245
SMPD3	55512	A_23_P347027	chr16:66962343-66962284	classical	0.625	-0.069	0.072	-0.296
SPDEF	25803	A_23_P111194	chr6:34614144-34614085	classical	0.881	-0.019	0.143	-0.148
SPINK4	27290	A_23_P71880	chr9:33236720-33238476	classical	0.892	0.006	0.832	-0.011
SPINK5	11005	A_23_P356494	chr5:147496951-147497010	classical	0.616	0.040	0.204	-0.160
ST6GALNAC1	55808	A_23_P54968	chr17:72132765-72132706	classical	0.931	-0.007	0.012	-0.256
SULT1C2	6819	A_23_P51002	chr2:108288386-108288445	classical	0.486	0.055	0.467	-0.069
SYTL2	54843	A_23_P53193	chr11:85083784-85083725	classical	0.612	0.094	0.151	-0.465
TESC	54997	A_23_P76538	chr12:115961204-115961145	classical	0.552	0.053	0.053	-0.174
TFF1	7031	A_23_P68759	chr21:42655541-42655482	classical	0.821	0.014	0.221	-0.060
TFF2	7032	A_23_P57364	chr21:42640715-42639717	classical	0.453	0.034	0.917	0.006
TFF3	7033	A_24_P289208	chr21:42608659-42608600	classical	0.575	-0.032	0.651	-0.034
TJP3	27134	A_23_P108157	chr19:3697516-3697575	classical	0.727	0.060	0.001	-0.299
TM4SF20	79853	A_23_P114008	chr2:227935877-227935818	classical	0.267	0.079	0.834	0.014
TMC5	79838	A_23_P15101	chr16:19416949-19417008	classical	0.396	0.064	0.003	-0.288
TMEM45B	120224	A_23_P1682	chr11:129234156-129234215	classical	0.545	0.044	0.831	-0.018
TMEM54	113452	A_23_P62768	chr1:33132951-33132892	classical	0.468	0.098	0.004	-0.540
TMEM63A	9725	A_23_P200489	chr1:224100369-224100310	classical	0.985	-0.003	0.000	-0.551
TMEM92	162461	A_23_P38388	chr17:45711945-45712004	classical	0.052	0.262	0.205	0.285
TMPRSS2	7113	A_23_P29067	chr21:41758833-41758774	classical	0.431	-0.092	0.569	-0.052
TMPRSS3	64699	A_23_P80162	chr21:42675348-42675289	classical	0.304	0.135	0.163	-0.255
TMPRSS4	56649	A_23_P127608	chr11:117494258-117494317	classical	0.383	0.048	0.024	-0.218
TNFRSF11A	8792	A_23_P390518	chr18:58204238-58204297	classical	0.553	0.084	0.838	-0.042
TOX3	27324	A_23_P54681	chr16:51030366-51030307	classical	0.835	-0.038	0.001	-0.326
TPD52	7163	A_24_P166807	chr8:81128112-81126400	classical	0.390	-0.119	0.059	-0.518
TRIM15	89870	A_23_P214554	chr6:30244271-30246277	classical	0.201	0.130	0.085	-0.242
TRIM31	11074	A_23_P122493	chr6:30186429-30186370	classical	0.872	0.023	0.036	-0.217
TRPM4	54795	A_23_P153529	chr19:54406572-54406631	classical	0.058	0.309	0.082	-0.376
TSPAN1	10103	A_23_P160167	chr1:46423760-46423819	classical	0.498	0.047	0.006	-0.348
TSPAN15	23555	A_32_P7015	chr10:70937056-70937115	classical	0.675	0.055	0.043	-0.288
TSPAN3	10099	A_23_P14804	chr15:75125628-75125569	classical	0.766	-0.040	0.156	-0.279
TSPAN8	7103	A_23_P36531	chr12:69812841-69812782	classical	0.960	0.003	0.047	-0.142
TST	7263	A_23_P29248	chr22:35737018-35736959	classical	0.515	0.080	0.073	-0.343
TSTA3	7264	A_23_P94301	chr8:144766596-144766537	classical	0.519	0.084	0.117	-0.249
USH1C	10083	A_23_P127818	chr11:17493371-17493312	classical	0.634	0.066	0.009	-0.317
VIL1	7429	A_23_P16866	chr2:219022339-219022398	classical	0.917	0.009	0.362	-0.075
VILL	50853	A_23_P29684	chr3:38023470-38023529	classical	0.365	0.071	0.071	-0.165
VSIG1	340547	A_32_P163147	chrX:107208833-107208892	classical	0.949	-0.005	0.292	-0.062
VSIG2	23584	A_23_P36018	chr11:124124865-124123862	classical	0.492	-0.053	0.010	-0.161
XK	7504	A_23_P45304	chrX:37476230-37476289	classical	0.564	-0.068	0.767	-0.030
hCG_1643808	100130933	A_24_P467073	chr17:71155576-71155635	classical	0.453	0.063	1.000	0.000
hCG_1988300	728638	A_32_P175098	chr8:62654714-62654773	classical	0.071	0.229	1.000	0.000
